timestamp,heartrate-max,heartrate-mean,heartrate-min,heartrate-std
2022-10-13,96.0,23.77,0.0,36.34
2022-10-14,129.0,36.55,0.0,41.76
2022-10-15,122.0,44.96,0.0,41.11
2022-10-16,92.0,16.57,0.0,32.27
2022-10-17,104.0,35.75,0.0,40.13
2022-10-18,99.0,46.76,0.0,35.45
2022-10-19,130.0,46.66,0.0,38.04
2022-10-20,116.0,20.03,0.0,34.12
2022-10-21,104.0,39.8,0.0,36.71
2022-10-22,97.0,29.96,0.0,38.14
2022-10-23,112.0,21.5,0.0,35.12
2022-10-24,125.0,27.92,0.0,39.33
2022-10-25,105.0,24.55,0.0,36.52
2022-10-26,131.0,36.23,0.0,41.22
2022-10-27,96.0,26.04,0.0,35.05
2022-10-28,120.0,44.21,0.0,40.13
2022-10-29,99.0,35.17,0.0,36.49
2022-10-30,104.0,20.18,0.0,33.75
2022-10-31,103.0,22.96,0.0,35.26
2022-11-01,70.0,2.91,0.0,13.49
2022-11-02,0.0,0.0,0.0,0.0
2022-11-03,91.0,70.64,58.0,8.77
2022-11-04,0.0,0.0,0.0,0.0
2022-11-05,96.0,81.87,71.0,5.48
2022-11-06,110.0,75.84,64.0,14.09
2022-11-07,116.0,83.67,62.0,15.68
2022-11-08,110.0,79.65,67.0,12.37
2022-11-09,114.0,78.75,55.0,9.51
2022-11-10,108.0,79.59,55.0,11.05
2022-11-11,114.0,75.48,61.0,10.97
2022-11-12,109.0,85.95,55.0,12.97
2022-11-13,112.0,77.0,59.0,7.05
2022-11-14,90.0,69.78,58.0,5.25
2022-11-15,110.0,75.88,55.0,7.68
2022-11-16,96.0,71.13,59.0,7.71
2022-11-17,119.0,75.77,62.0,11.46
2022-11-18,122.0,77.23,64.0,13.47
2022-11-19,103.0,73.75,63.0,9.47
2022-11-20,95.0,72.26,61.0,5.68
2022-11-21,110.0,77.64,64.0,10.63
2022-11-22,100.0,74.31,60.0,9.04
2022-11-23,96.0,75.43,62.0,9.88
2022-11-24,128.0,74.63,61.0,13.65
2022-11-25,101.0,78.64,62.0,8.89
2022-11-26,130.0,80.47,63.0,13.67
2022-11-27,98.0,77.28,65.0,8.12
2022-11-28,113.0,72.57,48.0,10.34
2022-11-29,116.0,72.27,54.0,10.58
2022-11-30,125.0,79.58,51.0,16.93
2022-12-01,0.0,0.0,0.0,0.0
2022-12-02,0.0,0.0,0.0,0.0
2022-12-03,0.0,0.0,0.0,0.0
2022-12-04,95.0,75.04,52.0,7.98
2022-12-05,125.0,76.24,55.0,13.29
2022-12-06,104.0,76.44,61.0,6.73
2022-12-07,116.0,82.23,65.0,11.53
2022-12-08,118.0,81.5,67.0,9.19
2022-12-09,0.0,0.0,0.0,0.0
