timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2024-02-22,3,1,3,1.0,0.125
2024-02-23,6,2,6,1.5,0.1667
2024-02-24,6,2,12,1.2,0.2083
2024-02-25,6,2,1,1.2,0.2083
2024-02-26,7,2,5,1.1667,0.25
2024-02-27,3,1,6,1.0,0.125
2024-02-28,0,0,0,0.0,0.0
2024-02-29,5,1,2,1.0,0.2083
2024-03-01,6,2,3,1.5,0.1667
2024-03-02,9,2,1,1.125,0.3333
2024-03-03,7,1,1,1.0,0.2917
2024-03-04,5,1,2,1.0,0.2083
2024-03-05,15,2,3,1.5,0.4167
2024-03-06,2,1,6,1.0,0.0833
2024-03-07,8,2,7,1.3333,0.25
2024-03-08,6,1,5,1.0,0.25
2024-03-09,10,2,2,1.25,0.3333
2024-03-10,6,2,5,1.2,0.2083
2024-03-11,6,2,10,1.2,0.2083
2024-03-12,6,1,5,1.0,0.25
2024-03-13,4,2,6,1.3333,0.125
2024-03-14,0,0,0,0.0,0.0
2024-03-15,6,1,7,1.0,0.25
2024-03-16,3,1,5,1.0,0.125
2024-03-17,11,2,2,1.2222,0.375
2024-03-18,5,3,11,2.5,0.0833
2024-03-19,1,1,9,1.0,0.0417
2024-03-20,1,1,7,1.0,0.0417
2024-03-21,1,1,9,1.0,0.0417
2024-03-22,0,0,0,0.0,0.0
2024-03-23,15,2,1,1.3636,0.4583
2024-03-24,9,2,1,1.5,0.25
2024-03-25,12,2,2,1.3333,0.375
2024-03-26,2,1,8,1.0,0.0833
2024-03-27,8,2,2,1.3333,0.25
2024-03-28,2,1,7,1.0,0.0833
2024-03-29,11,2,4,1.375,0.3333
2024-03-30,7,1,1,1.0,0.2917
2024-03-31,5,1,2,1.0,0.2083
2024-04-01,10,2,5,1.1111,0.375
2024-04-02,2,1,4,1.0,0.0833
2024-04-03,2,1,7,1.0,0.0833
2024-04-04,9,2,2,1.2857,0.2917
2024-04-05,7,2,2,1.1667,0.25
2024-04-06,10,2,10,1.25,0.3333
2024-04-07,8,2,5,1.1429,0.2917
2024-04-08,1,1,9,1.0,0.0417
2024-04-09,1,1,8,1.0,0.0417
2024-04-10,1,1,8,1.0,0.0417
2024-04-11,0,0,0,0.0,0.0
2024-04-12,0,0,0,0.0,0.0
2024-04-13,0,0,0,0.0,0.0
2024-04-14,0,0,0,0.0,0.0
