timestamp,step-count,step-max,step-max-timestamp,step-mean,step-ratio
2024-10-24,151,49,16,15.1,0.4167
2024-10-25,0,0,0,0.0,0.0
2024-10-26,0,0,0,0.0,0.0
2024-10-27,0,0,0,0.0,0.0
2024-10-28,0,0,0,0.0,0.0
2024-10-29,0,0,0,0.0,0.0
2024-10-30,0,0,0,0.0,0.0
2024-10-31,1,1,13,1.0,0.0417
2024-11-01,1056,704,12,132.0,0.3333
2024-11-02,101,41,12,14.4286,0.2917
2024-11-03,408,126,10,34.0,0.5
2024-11-04,1482,733,13,148.2,0.4167
2024-11-05,219,56,17,21.9,0.4167
2024-11-06,326,182,9,29.6364,0.4583
2024-11-07,480,226,10,68.5714,0.2917
2024-11-08,0,0,0,0.0,0.0
2024-11-09,0,0,0,0.0,0.0
2024-11-10,0,0,0,0.0,0.0
2024-11-11,0,0,0,0.0,0.0
2024-11-12,36,20,20,12.0,0.125
2024-11-13,460,317,11,51.1111,0.375
2024-11-14,564,303,10,47.0,0.5
2024-11-15,185,64,12,20.5556,0.375
2024-11-16,326,127,9,32.6,0.4167
2024-11-17,310,90,11,31.0,0.4167
2024-11-18,292,112,15,32.4444,0.375
2024-11-19,298,176,12,37.25,0.3333
2024-11-20,208,78,9,20.8,0.4167
2024-11-21,597,324,18,59.7,0.4167
2024-11-22,153,46,10,17.0,0.375
2024-11-23,867,466,12,108.375,0.3333
2024-11-24,609,461,11,87.0,0.2917
2024-11-25,142,69,9,23.6667,0.25
2024-11-26,331,97,13,41.375,0.3333
2024-11-27,224,74,10,24.8889,0.375
2024-11-28,1016,356,11,78.1538,0.5417
2024-11-29,18,9,11,9.0,0.0833
2024-11-30,251,80,10,17.9286,0.5833
2024-12-01,495,157,11,41.25,0.5
2024-12-02,152,29,11,15.2,0.4167
2024-12-03,101,28,9,11.2222,0.375
2024-12-04,375,256,9,41.6667,0.375
2024-12-05,0,0,0,0.0,0.0
2024-12-06,0,0,0,0.0,0.0
2024-12-07,0,0,0,0.0,0.0
2024-12-08,0,0,0,0.0,0.0
2024-12-09,124,58,21,20.6667,0.25
2024-12-10,202,69,17,20.2,0.4167
2024-12-11,114,36,10,19.0,0.25
2024-12-12,285,135,12,31.6667,0.375
2024-12-13,55,21,11,13.75,0.1667
2024-12-14,486,131,17,34.7143,0.5833
2024-12-15,1522,916,14,152.2,0.4167
2024-12-16,925,326,17,84.0909,0.4583
2024-12-17,564,192,11,62.6667,0.375
2024-12-18,303,89,18,30.3,0.4167
